Subject,Group,P_AMQ_Feel,P_D2_Feel,P_D3_Feel,C_AMQ_Feel,C_D2_Feel,C_D3_Feel,P_feelchange,C_feelchange,Differ_FeelChange,P_Date,C_Date
901,Delayed-test,3.181818182,3.181818182,3.181818182,3.1875,3.1875,3.3125,0,0.125,-0.125,5.636363636,5.1875
903,Delayed-test,3.083333333,4.083333333,4.416666667,3.6875,4.1875,4.375,0.333333333,0.1875,0.145833333,5.083333333,4.75
905,Delayed-test,3.6,3.9,4.2,3.416666667,2.916666667,2.666666667,0.3,-0.25,0.55,3.9,4.083333333
906,Delayed-test,3.923076923,4.769230769,5.615384615,3.5,4,4,0.846153846,0,0.846153846,5.230769231,3.571428571
907,Delayed-test,3.266666667,4.466666667,4.866666667,3.125,4.375,5.125,0.4,0.75,-0.35,4.666666667,5
908,Delayed-test,2.636363636,2,3.909090909,2.625,2.0625,3.0625,1.909090909,1,0.909090909,4,4.8125
911,Delayed-test,2.933333333,5.266666667,5.733333333,2.866666667,5.133333333,5.333333333,0.466666667,0.2,0.266666667,4.266666667,4.666666667
912,Delayed-test,3,4.0625,4.1875,2.8125,4.8125,3.4375,0.125,-1.375,1.5,4.1875,4.375
914,Delayed-test,2.333333333,4.25,6.25,2.133333333,4.133333333,4.466666667,2,0.333333333,1.666666667,5.416666667,5.666666667
915,Delayed-test,2.846153846,3.923076923,5.615384615,2.875,3.875,5.6875,1.692307692,1.8125,-0.120192308,3.307692308,4.1875
916,Delayed-test,2.1,2.4,2.8,2.3125,2.25,2.625,0.4,0.375,0.025,4.5,4.1875
917,Delayed-test,2.933333333,3.266666667,3.533333333,3.066666667,3.4,3.466666667,0.266666667,0.066666667,0.2,3.8,3.4
918,Delayed-test,2.133333333,2.733333333,3.533333333,2.5,3.1875,3.25,0.8,0.0625,0.7375,3,3.6875
919,Delayed-test,3.166666667,5.916666667,6.75,3.083333333,4.416666667,4.416666667,0.833333333,0,0.833333333,3.416666667,2.5
921,Delayed-test,4.1,4.5,4.7,4.0625,4.1875,4.4375,0.2,0.25,-0.05,5.4,5
922,Delayed-test,3.285714286,3.857142857,3.642857143,3.375,3.5625,3.375,-0.214285714,-0.1875,-0.026785714,4.5,5.125
923,Delayed-test,3.714285714,3.571428571,3.785714286,3.5625,3.125,3.8125,0.214285714,0.6875,-0.473214286,4.214285714,5
924,Delayed-test,4.2,4.8,4.7,3.9375,4.5625,4.125,-0.1,-0.4375,0.3375,4.5,5.3125
933,Delayed-test,3.153846154,3.769230769,4.076923077,3.133333333,4,4.466666667,0.307692308,0.466666667,-0.158974359,4.307692308,4.666666667
954,Delayed-test,1.222222222,3.666666667,5.888888889,1.615384615,4.769230769,5.923076923,2.222222222,1.153846154,1.068376068,2.888888889,3.384615385
960,Delayed-test,2.125,3.3125,3.6875,1.846153846,3.230769231,3.461538462,0.375,0.230769231,0.144230769,4.5625,4.461538462
991,Delayed-test,4,5.5,5.125,4,4.538461538,4.230769231,-0.375,-0.307692308,-0.067307692,4.25,4.307692308
992,Delayed-test,6.222222222,7.888888889,8.777777778,5.818181818,8.181818182,7.909090909,0.888888889,-0.272727273,1.161616162,4.777777778,4.454545455
301,Immediate-test,2.928571429,3.642857143,2.928571429,2.866666667,3.2,2.733333333,-0.714285714,-0.466666667,-0.247619048,5.5,5.933333333
305,Immediate-test,2.333333333,4,3.777777778,2.466666667,3.8,4.4,-0.222222222,0.6,-0.822222222,4.222222222,4.6
314,Immediate-test,3.214285714,4.071428571,5.214285714,3.125,4.1875,5.3125,1.142857143,1.125,0.017857143,4.428571429,4.25
926,Immediate-test,2,4.909090909,4.636363636,2.0625,4.375,4.875,-0.272727273,0.5,-0.772727273,4.636363636,3.75
927,Immediate-test,3.222222222,3.555555556,3.555555556,2.833333333,2.75,2.833333333,0,0.083333333,-0.083333333,3.222222222,3.5
928,Immediate-test,2.454545455,2.545454545,4.818181818,2.5625,3.0625,4.375,2.272727273,1.3125,0.960227273,4.454545455,4.5625
929,Immediate-test,2.076923077,2.538461538,2.615384615,2.1875,2.4375,2.5,0.076923077,0.0625,0.014423077,4.846153846,5.4375
931,Immediate-test,2.3125,5.0625,4.75,2.125,5.25,4.9375,-0.3125,-0.3125,0,5.25,5.0625
935,Immediate-test,3.444444444,4.111111111,5.333333333,3.142857143,3.928571429,4.571428571,1.222222222,0.642857143,0.579365079,3.555555556,3.785714286
937,Immediate-test,4.2,5.133333333,5.866666667,4.0625,5.625,5.9375,0.733333333,0.3125,0.420833333,2.8,3.0625
940,Immediate-test,1.727272727,4,4.818181818,2.153846154,4.461538462,5.076923077,0.818181818,0.615384615,0.202797203,4.818181818,4.846153846
941,Immediate-test,2.25,3.5,3.75,2.3,3.3,4.1,0.25,0.8,-0.55,3.375,2.5
942,Immediate-test,1.777777778,2.222222222,2.666666667,2.272727273,2.545454545,3,0.444444444,0.454545455,-0.01010101,4.333333333,3.909090909
944,Immediate-test,2.75,4.083333333,3.333333333,2.4375,3.4375,3.125,-0.75,-0.3125,-0.4375,4.75,3.875
945,Immediate-test,4,4.7,5.1,3.666666667,3.444444444,3.666666667,0.4,0.222222222,0.177777778,4.9,4.777777778
946,Immediate-test,3.125,3.625,3.875,3.3125,4.1875,4.1875,0.25,0,0.25,2.875,4.3125
947,Immediate-test,3.583333333,4.333333333,4.25,3.454545455,4.181818182,4.181818182,-0.083333333,0,-0.083333333,4.083333333,4
949,Immediate-test,2.777777778,3.777777778,4.111111111,3.0625,3.875,4.1875,0.333333333,0.3125,0.020833333,4,3.375
951,Immediate-test,2.8,3.8,4.1,3.181818182,3.818181818,4,0.3,0.181818182,0.118181818,4.4,4.181818182
953,Immediate-test,3.071428571,5.428571429,4.714285714,3.4,4.4,4.533333333,-0.714285714,0.133333333,-0.847619048,4.5,4.066666667
959,Immediate-test,2.9,2.9,3.6,2.888888889,3.333333333,3.222222222,0.7,-0.111111111,0.811111111,4.2,4.222222222
961,Immediate-test,3.285714286,2,2.285714286,1.928571429,2.071428571,2.928571429,0.285714286,0.857142857,-0.571428571,14,4.214285714
962,Immediate-test,3.222222222,3.444444444,3.444444444,3.733333333,3.8125,3.625,0,-0.1875,0.1875,#DIV/0!,#DIV/0!
964,Immediate-test,3.666666667,3.777777778,3.777777778,3.4375,3.5,3.1875,0,-0.3125,0.3125,4,4.125
994,Immediate-test,1.6,1.066666667,1.333333333,1.75,1.1875,1.1875,0.266666667,0,0.266666667,3.4,4.625
965,No-reminder,3.375,3.125,3.25,3.857142857,3.928571429,3.571428571,0.125,-0.357142857,0.482142857,3.375,3.928571429
966,No-reminder,3.428571429,3.428571429,3.142857143,3.153846154,2.692307692,2.615384615,-0.285714286,-0.076923077,-0.208791209,2.714285714,3.461538462
971,No-reminder,5,7.909090909,8.272727273,3.9375,6.3125,5.9375,0.363636364,-0.375,0.738636364,2.454545455,2696.75
972,No-reminder,5.642857143,7.428571429,7.857142857,6.384615385,7.846153846,8,0.428571429,0.153846154,0.274725275,3.785714286,3.538461538
973,No-reminder,5.5,5.8,6,5.125,5.8125,5.6875,0.2,-0.125,0.325,4.9,3.875
974,No-reminder,2.181818182,2.818181818,2.454545455,2.428571429,2,2.428571429,-0.363636364,0.428571429,-0.792207792,4,4
975,No-reminder,2.5,3.125,3.25,2.375,2.25,2.0625,0.125,-0.1875,0.3125,3.625,3.75
977,No-reminder,3.666666667,5.5,5.833333333,2,4,4.333333333,0.333333333,0.333333333,0,3,3
